cd_edition,nr_edition,nm_edition,nr_year,ds_link
17obmep,17,17ª OBMEP,2022,http://premiacao.obmep.org.br/17obmep/mapa.htm
16obmep,16,16ª OBMEP,2021,http://premiacao.obmep.org.br/16aobmep/mapa.htm
2019,15,OBMEP 2019,2019,http://premiacao.obmep.org.br/2019/mapa.htm
2018,14,OBMEP 2018,2018,http://premiacao.obmep.org.br/2018/mapa.htm
2017,13,OBMEP 2017,2017,http://premiacao.obmep.org.br/2017/mapa_premiacao_content.htm
2016,12,OBMEP 2016,2016,http://premiacao.obmep.org.br/2016/mapa_premiacao_content.htm
2015,11,OBMEP 2015,2015,http://premiacao.obmep.org.br/2015/mapa_premiacao_content.htm
2014,10,OBMEP 2014,2014,http://premiacao.obmep.org.br/2014/mapa_premiacao_content.htm
2013,9,OBMEP 2013,2013,http://premiacao.obmep.org.br/2013/mapa_premiacao_content.htm
2012,8,OBMEP 2012,2012,http://premiacao.obmep.org.br/2012/mapa_premiacao_content.htm
2011,7,OBMEP 2011,2011,http://premiacao.obmep.org.br/2011/mapa_premiacao_content.htm
2010,6,OBMEP 2010,2010,http://premiacao.obmep.org.br/2010/mapa_premiacao_content.htm
2009,5,OBMEP 2009,2009,http://premiacao.obmep.org.br/2009/mapa_premiacao_content.htm
2008,4,OBMEP 2008,2008,http://premiacao.obmep.org.br/2008/mapa_premiacao_content.htm
2007,3,OBMEP 2007,2007,http://premiacao.obmep.org.br/2007/mapa_premiacao_content.htm
2006,2,OBMEP 2006,2006,http://premiacao.obmep.org.br/2006/mapa_premiacao_content.htm
2005,1,OBMEP 2005,2005,http://premiacao.obmep.org.br/2005/mapa_premiacao_content.htm
